1	8281	486	271	1047	544 
1	8283	486	271	1047	544 
1	8383	486	271	1045	544 
1	8483	486	271	1040	550 
1	8583	486	271	1044	546 
1	8683	484	270	1045	545 
1	8783	486	271	1049	543 
1	8884	485	270	1041	545 
1	8983	485	271	1045	545 
1	9083	486	271	1046	544 
1	9184	486	271	1047	543 
1	9284	485	270	1045	545 
1	9383	486	270	1046	544 
1	9484	485	270	1046	544 
1	9584	486	270	1045	546 
1	9684	485	271	1044	547 
1	9784	486	270	1043	548 
1	9884	485	271	1049	544 
1	9985	485	270	1046	548 
1	10085	484	270	1048	543 
1	10184	486	271	1048	550 
1	10285	486	271	1050	547 
1	10385	486	271	1050	547 
1	10485	484	270	1048	544 
1	10585	486	271	1047	551 
1	10685	486	271	1049	547 
1	10785	486	271	1047	549 
1	10886	486	271	1049	546 
1	10985	486	271	1046	546 
1	11085	486	271	1045	547 
1	11186	486	271	1044	548 
1	11286	487	270	1043	548 
1	11385	486	270	1040	541 
1	11486	486	270	1038	536 
1	11586	486	270	1043	538 
1	11686	485	271	1038	539 
1	11786	484	267	1031	540 
1	11886	484	269	1031	537 
1	11986	483	270	1029	540 
1	12087	486	270	1029	538 
1	12186	485	271	1031	537 
1	12286	486	270	1028	534 
1	12387	486	270	1024	536 
1	12487	485	271	1023	537 
1	12587	485	271	1024	534 
1	12687	486	270	1021	528 
1	12787	485	271	1015	532 
1	12888	485	270	1012	527 
1	12987	485	271	1007	525 
1	13087	485	270	1011	509 
1	13188	485	271	1000	527 
1	13288	486	271	998	521 
1	13387	486	270	996	521 
1	13488	487	270	992	519 
1	13588	485	271	990	515 
1	13688	486	271	982	518 
1	13788	486	270	980	519 
1	13888	486	271	971	508 
1	13988	485	271	971	514 
1	14089	485	268	963	505 
1	14188	485	270	962	508 
1	14288	486	271	957	504 
1	14389	485	270	952	500 
1	14489	485	271	946	496 
1	14588	485	270	941	498 
1	14689	486	270	934	492 
1	14789	485	271	924	493 
1	14889	484	271	921	487 
1	14989	485	271	913	485 
1	15089	485	271	914	467 
1	15190	485	270	906	464 
1	15290	485	271	900	474 
1	15389	485	270	894	470 
1	15490	484	270	886	466 
1	15590	485	271	882	465 
1	15690	484	269	872	463 
1	15790	484	269	870	455 
1	15890	484	270	860	454 
1	15990	485	271	857	452 
1	16091	483	270	847	448 
1	16190	484	270	839	449 
1	16290	484	269	831	445 
1	16391	485	271	825	445 
1	16491	485	270	817	442 
1	16590	485	270	815	433 
1	16691	486	271	808	429 
1	16791	485	271	796	430 
1	16891	485	269	785	419 
1	16991	485	270	784	412 
1	17091	485	271	776	417 
1	17191	484	269	768	413 
1	17292	485	271	766	406 
1	17391	485	270	759	403 
1	17491	485	268	751	401 
