1	21641	21740	32725	435	226	359	238	6468	4078	18.93 
1	21695	21770	32723	437	225	356	243	6478	4088	18.71 
1	21748	21781	32725	438	218	355	243	6488	4087	18.50 
1	21803	21788	32723	436	231	352	245	6483	4088	18.22 
1	21856	21787	32725	436	226	358	240	6484	4090	17.93 
1	21910	21791	32725	434	233	352	246	6486	4091	17.72 
1	21964	21803	32725	436	231	359	237	6488	4088	17.51 
1	22018	21797	32723	437	220	352	250	6488	4089	17.30 
1	22072	21782	32725	435	227	358	240	6477	4088	17.01 
1	22125	21780	32723	438	223	352	246	6480	4086	16.87 
1	22179	21784	32725	439	218	356	242	6475	4086	16.66 
1	22234	21779	32725	434	228	361	237	6483	4087	16.45 
1	22287	21736	32725	435	227	358	241	6478	4089	16.23 
1	22341	21737	32723	437	216	355	245	6468	4083	16.09 
1	22394	21747	32723	434	228	352	248	6479	4088	15.88 
1	22449	21719	32725	435	207	355	242	6463	4074	15.74 
1	22503	21746	32725	437	224	355	245	6461	4075	15.60 
1	22556	21748	32723	435	217	358	240	6476	4084	15.38 
1	22610	21753	32723	437	219	355	242	6474	4083	15.17 
1	22664	21749	32723	433	228	356	242	6472	4083	15.10 
1	22718	21760	32723	433	219	355	247	6477	4082	14.96 
1	22772	21750	32725	436	226	355	243	6477	4088	14.74 
1	22825	21753	32723	437	224	352	243	6473	4085	14.60 
1	22880	21746	32725	436	226	359	239	6476	4086	14.53 
1	22933	21746	32725	436	226	355	243	6478	4080	14.39 
1	22987	21748	32723	437	225	360	237	6472	4080	14.25 
1	23042	21737	32725	432	220	354	246	6472	4085	14.04 
1	23095	21737	32723	436	216	355	242	6474	4081	13.97 
1	23149	21731	32725	435	227	358	239	6470	4082	13.89 
1	23202	21733	32725	433	228	359	238	6471	4076	13.75 
1	23257	21754	32723	434	218	358	239	6475	4078	13.61 
1	23311	21747	32725	435	217	352	247	6472	4076	13.54 
1	23364	21741	32723	436	225	355	242	6470	4079	13.47 
1	23418	21740	32725	436	216	355	241	6470	4077	13.33 
1	23473	21746	32725	434	228	349	251	6471	4079	13.26 
1	23526	21744	32725	433	227	358	242	6471	4080	13.11 
1	23580	21745	32725	433	228	359	239	6470	4083	13.04 
1	23633	21744	32723	438	223	352	246	6472	4081	12.83 
1	23688	21746	32725	439	223	356	242	6475	4080	12.69 
1	23742	21756	32725	439	213	356	242	6475	4079	12.33 
1	23795	21693	32725	433	227	358	239	6472	4080	12.12 
1	23849	21726	32725	438	222	359	239	6465	4073	12.05 
1	23903	21745	32723	438	223	359	237	6476	4082	12.05 
1	23957	21746	32725	439	223	352	246	6474	4081	12.12 
1	24011	21759	32725	440	221	359	238	6475	4082	12.12 
1	24065	21757	32723	438	213	353	246	6476	4082	12.19 
1	24119	21745	32725	438	223	345	253	6473	4080	12.12 
1	24172	21747	32723	434	222	358	242	6471	4079	12.05 
1	24226	21740	32725	435	217	355	245	6474	4081	12.05 
1	24281	21744	32725	438	223	355	243	6477	4081	11.98 
1	24334	21750	32725	437	224	348	252	6469	4079	11.84 
1	24388	21734	32723	437	214	359	239	6467	4083	11.70 
1	24441	21750	32725	437	225	352	246	6471	4082	11.63 
1	24496	21739	32723	431	230	359	240	6471	4079	11.63 
1	24550	21732	32725	434	228	359	238	6469	4081	11.63 
1	24603	21744	32723	432	229	352	244	6470	4083	11.70 
1	24657	21735	32725	437	224	358	240	6472	4081	11.70 
1	24711	21749	32725	433	228	355	242	6469	4078	11.63 
1	24765	21729	32725	438	222	355	242	6468	4075	11.70 
1	24819	21732	32725	432	229	355	245	6469	4073	11.77 
1	24872	21725	32723	436	225	351	249	6466	4075	11.70 
1	24927	21732	32725	436	224	358	239	6467	4072	11.55 
1	24981	21720	32723	433	222	351	244	6464	4074	11.55 
1	25034	21717	32725	436	225	354	243	6459	4074	11.48 
1	25089	21726	32725	435	217	355	242	6462	4074	11.41 
1	25142	21694	32725	439	222	348	248	6465	4073	11.41 
1	25196	21676	32723	434	226	355	241	6453	4063	11.34 
1	25250	21717	32725	436	225	354	243	6466	4071	11.41 
1	25304	21722	32723	436	224	355	244	6464	4072	11.41 
